,BVP_min,BVP_max,BVP_mean,BVP_std,BVP_peak_f,TEMP_min,TEMP_max,TEMP_mean,TEMP_std,labels
0,485.0,561.0,512.4404460212874,16.848150300957123,1.8333333333333333,30.62,36.42,33.55475418144957,0.6903376917789378,1.0
1,469.0,561.0,512.2169285352255,16.986857385256414,1.8,31.58,36.42,33.54957932083122,0.6852784597236385,1.0
2,469.0,561.0,512.2204764318298,17.036637122337613,1.8,31.58,36.09,33.52872782564622,0.6887566725461635,1.0
3,469.0,561.0,512.2093258996453,16.850773096719422,1.8,30.29,36.09,33.51520527116067,0.6968159407669197,1.0
4,469.0,561.0,512.3198175367461,16.937080722927615,1.8,30.29,38.03,33.512985301571206,0.6956105190447843,1.0
5,469.0,561.0,512.2483527622909,16.850197679522473,1.8,30.29,38.03,33.50336036492651,0.6987249401430874,1.0
6,469.0,557.0,512.1394523326572,16.649742558051027,1.8,30.29,38.03,33.49405679513185,0.6945587409036589,1.0
7,469.0,557.0,512.015728056824,16.587630894601933,1.7666666666666666,30.29,38.03,33.49783358701168,0.6970808055383689,1.0
8,469.0,556.0,511.85902636916836,16.49498808204489,1.7333333333333334,30.29,38.03,33.50079614604462,0.6971079090498281,1.0
9,469.0,565.0,511.83122149011655,16.57781449547417,1.7333333333333334,30.29,38.03,33.50618347693868,0.6999651402437593,1.0
10,469.0,565.0,511.86974151039027,16.629776130245236,1.8,30.29,38.03,33.505641155600614,0.7009231503140194,1.0
11,484.0,565.0,512.3086670045616,16.728942468752486,1.8,30.29,38.03,33.51166244298024,0.7092094659019023,1.0
12,486.0,565.0,512.4151039026863,16.956259052234987,1.7666666666666666,30.29,38.03,33.51967055245819,0.7032677587494688,1.0
13,485.0,565.0,512.3073022312374,17.268021415207887,1.8,30.94,38.03,33.523549695740364,0.6983178135428183,1.0
14,485.0,565.0,512.234398782344,17.37238762105314,1.8333333333333333,30.94,38.03,33.51766615931,0.6939950790258498,1.0
15,483.0,565.0,511.817536746072,17.55478693216078,1.8,30.94,38.03,33.53385200202737,0.6864235902308815,1.0
16,483.0,565.0,511.84584178498983,17.71946013081573,1.8,31.9,38.03,33.53877281947262,0.6794028588835346,1.0
17,483.0,565.0,512.1915864166244,17.921136403338853,1.7666666666666666,31.9,38.03,33.53042067916878,0.6792959422059806,1.0
18,483.0,565.0,512.2559553978713,18.09037127093082,1.8,31.9,38.03,33.52942219969589,0.6781178242935157,1.0
